Selector;Dimension;value;Tabell
;lang;en;07459
valueCodes;Region;K-1101,K-1103,K-1106,K-1108,K-1111,K-1112,K-1114,K-1119,K-1120,K-1121,K-1122,K-1124,K-1127,K-1130,K-1133,K-1134,K-1135,K-1144,K-1145,K-1146,K-1149,K-1151,K-1160;07459
valueCodes;Alder;F306,F307,F308,F309,F310;07459
valueCodes;Tid;from(1986);07459
valueCodes;ContentsCode;Personer1;07459
codelist;Region;agg_KommSummer;07459
outputValues;Region;aggregated;07459
codelist;Alder;agg_Funksjonell2a;07459
outputValues;Alder;aggregated;07459
;lang;en;14288
valueCodes;Region;1101,1103,1106,1108,1111,1112,1114,1119,1120,1121,1122,1124,1127,1130,1133,1134,1135,1144,1145,1146,1149,1151,1160;14288
valueCodes;Alder;F306,F307,F308,F309,F310;14288
valueCodes;Tid;from(2024);14288
valueCodes;ContentsCode;Personer,Personer1,Personer2,Personer3,Personer4,Personer5,Personer6,Personer7,Personer8;14288
codelist;Region;vs_KommunFram2024Agg;14288
codelist;Alder;agg_Funksjonell2a;14288
outputValues;Alder;aggregated;14288
;lang;en;09429
valueCodes;Region;1101,1103,1106,1108,1111,1112,1114,1119,1120,1121,1122,1124,1127,1130,1133,1134,1135,1144,1145,1146,1149,1151,1160;09429
valueCodes;Nivaa;00,01,02a,11,03a,04a,09a;09429
valueCodes;Kjonn;2,1;09429
valueCodes;Tid;from(1970);09429
valueCodes;ContentsCode;Personer;09429
;lang;en;13563
valueCodes;ContentsCode;Bosatte;13563
valueCodes;Region;K-1101,K-1103,K-1106,K-1108,K-1111,K-1112,K-1114,K-1119,K-1120,K-1121,K-1122,K-1124,K-1127,K-1130,K-1133,K-1134,K-1135,K-1144,K-1145,K-1146,K-1149,K-1151,K-1160;13563
valueCodes;HovArbStyrkStatus;TOT,A,U;13563
valueCodes;Alder;15-29,30-61,62+;13563
valueCodes;InnvandrKat;A_C-G,B;13563
valueCodes;Tid;from(2008);13563
codelist;Region;agg_KommSummer;13563
outputValues;Region;aggregated;13563
codelist;HovArbStyrkStatus;vs_ArbStatus2018niva1;13563
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
